Time(s), Acceleration_X, Acceleration_Y, Acceleration_Z, Gyro_X(dps), Gyro_Y(dps), Gyro_Z(dps), Magnetometer_X, Magnetometer_Y, Magnetometer_Z
51.26652312,-0.152832031,0.015380859,-1.120849609,-19.83642578,-5.157470703,18.79882813,-12.72489698,17.74316621,22.63433875
51.2766521,-0.161865234,0.012939453,-1.136230469,-22.03369141,-6.652832031,21.94213867,-11.11188187,15.41325549,25.91718178
51.28681421,-0.153564453,0.025878906,-1.154785156,-21.78955078,-10.0402832,22.49145508,-12.18722527,16.8470467,23.84380723
51.29697824,-0.159912109,0.031982422,-1.138427734,-18.34106445,-9.674072266,20.41625977,-11.82877747,17.20549451,24.53493208
51.3071022,-0.155761719,0.032226563,-1.128173828,-15.96069336,-5.920410156,17.79174805,-11.82877747,17.56394231,25.22605693
51.31723142,-0.154785156,0.024658203,-1.108886719,-15.93017578,-3.082275391,21.05712891,-11.82877747,17.20549451,25.57161935
51.32734942,-0.138183594,0.0390625,-1.069580078,-17.97485352,0.030517578,24.65820313,-11.82877747,17.20549451,25.57161935
51.33751416,-0.131835938,0.061523438,-1.054931641,-18.46313477,6.164550781,24.50561523,-11.82877747,17.20549451,25.57161935
51.34763741,-0.139892578,0.033447266,-1.092041016,-21.97265625,9.033203125,28.50341797,-11.82877747,17.20549451,25.57161935
51.35776734,-0.136962891,0.061523438,-1.096435547,-25.17700195,6.988525391,33.26416016,-11.82877747,17.20549451,25.57161935
51.36792254,-0.135253906,0.083984375,-1.115234375,-25.75683594,4.028320313,33.29467773,-12.00800137,16.6678228,25.05327572
51.37805963,-0.156982422,0.070556641,-1.161621094,-26.97753906,-1.647949219,32.86743164,-11.11188187,16.4885989,25.22605693
51.38822579,-0.177490234,0.074462891,-1.185058594,-28.38134766,-8.544921875,34.72900391,-12.36644918,17.74316621,25.74440056
51.39840484,-0.179443359,0.086425781,-1.163085938,-28.25927734,-13.12255859,37.53662109,-11.47032967,16.4885989,25.22605693
51.40856218,-0.173339844,0.090576172,-1.141113281,-26.00097656,-15.38085938,40.98510742,-10.93265797,17.74316621,24.70771329
51.41868734,-0.175048828,0.099121094,-1.121582031,-21.91162109,-11.47460938,41.65649414,-10.93265797,15.9509272,25.39883814
51.4288168,-0.167236328,0.097900391,-1.067626953,-18.64624023,-4.455566406,41.35131836,-10.93265797,15.9509272,25.39883814
51.43896532,-0.152099609,0.099853516,-1.080322266,-15.71655273,3.570556641,41.015625,-10.93265797,15.9509272,25.39883814
51.44909549,-0.138916016,0.091064453,-1.106445313,-12.9699707,5.981445313,40.22216797,-10.93265797,15.9509272,25.39883814
51.45925808,-0.135986328,0.098632813,-1.078857422,-10.86425781,9.948730469,38.54370117,-10.93265797,15.9509272,25.39883814
51.46939516,-0.124755859,0.108886719,-1.112548828,-10.16235352,10.52856445,37.32299805,-10.93265797,15.9509272,25.39883814
51.47954631,-0.149658203,0.122314453,-1.106689453,-9.613037109,10.13183594,36.04125977,-10.75343407,15.7717033,25.91718178
51.48972535,-0.165039063,0.121582031,-1.138671875,-9.27734375,8.911132813,35.73608398,-11.47032967,17.56394231,24.88049451
51.49988627,-0.168945313,0.12109375,-1.182128906,-8.483886719,5.432128906,33.66088867,-9.85731456,17.0262706,26.78108784
51.51002002,-0.173583984,0.134521484,-1.171875,-6.774902344,0.274658203,35.06469727,-11.64955357,16.309375,25.74440056
51.52014661,-0.161132813,0.131347656,-1.125244141,-3.997802734,-1.312255859,39.73388672,-10.75343407,16.1301511,26.2627442
51.53027868,-0.147949219,0.136230469,-1.102783203,-1.312255859,-5.157470703,49.22485352,-10.75343407,16.1301511,26.2627442
51.54040599,-0.126953125,0.125732422,-1.063720703,-0.701904297,-6.439208984,60.48583984,-10.75343407,16.1301511,26.2627442
51.55053353,-0.087158203,0.131835938,-1.076660156,-1.922607422,-6.683349609,60.8215332,-10.75343407,16.1301511,26.2627442
51.5606637,-0.099853516,0.126708984,-1.095458984,1.770019531,-5.950927734,55.41992188,-10.75343407,16.1301511,26.2627442
51.57078886,-0.103515625,0.103027344,-1.114746094,-0.305175781,-0.793457031,49.19433594,-10.03653846,16.8470467,25.22605693
51.58134508,-0.114013672,0.128662109,-1.103027344,0.671386719,2.014160156,46.35620117,-9.319642857,17.56394231,25.57161935
51.5915134,-0.115478516,0.127441406,-1.094482422,2.868652344,6.866455078,41.07666016,-7.706627747,17.38471841,24.70771329
51.60167241,-0.1015625,0.136962891,-1.127685547,5.126953125,9.216308594,34.4543457,-9.85731456,17.74316621,25.74440056
51.61180115,-0.122314453,0.141113281,-1.147949219,8.972167969,4.577636719,28.22875977,-10.39498626,19.71462912,25.57161935
51.62193418,-0.140869141,0.137939453,-1.152832031,9.27734375,2.075195313,31.9519043,-7.885851648,17.92239011,25.57161935
